Location	Name	ID	Count	Slots
Waist	Lion Skin-153	2153	1	0
Power	Mosquito Tabar-154	2154	1	8
Ammo	Centi Long Sword-155	2155	1	10
General1	Spectre Eye-156	2156	1	0
General2	Ghoulbane-157	2157	1	8
General3	Iksar Tail-158	2158	1	8
General4	Goblin Ears-159	2159	1	8
General5	Cloth Cap-160	2160	1	0
General6	Cloth Sandals-161	2161	42	0
General7	Rusty Dagger-162	2162	1	0
General8	Rusty Sword-163	2163	2	0
General9	Bread Loaf-164	2164	1	0
General10	Water Flask-165	2165	1	10
Bank1	Bandages-166	2166	1	0
Bank2	Bone Chips-167	2167	2	0
Bank3	Spider Silk-168	2168	1	0
Bank4	Fire Beetle Eye-169	2169	1	0
Bank5	Snake Egg-170	2170	42	0
Bank6	Wolf Pelt-171	2171	42	0
Bank7	Bear Hide-172	2172	1	0
Bank8	Lion Skin-173	2173	1	0
Charm	Mosquito Tabar-174	2174	2	0
Head	Centi Long Sword-175	2175	1	0
Face	Spectre Eye-176	2176	42	10
Neck	Ghoulbane-177	2177	1	8
Shoulders	Iksar Tail-178	2178	42	0
Arms	Goblin Ears-179	2179	42	0
Back	Cloth Cap-180	2180	1	0
Wrist1	Cloth Sandals-181	2181	1	0
Wrist2	Rusty Dagger-182	2182	1	10
Range	Rusty Sword-183	2183	42	0
Hands	Bread Loaf-184	2184	1	0
Primary	Water Flask-185	2185	1	10
Secondary	Bandages-186	2186	2	0
Finger1	Bone Chips-187	2187	1	8
Finger2	Spider Silk-188	2188	10	0
Chest	Fire Beetle Eye-189	2189	1	0
Legs	Snake Egg-190	2190	5	0
Feet	Wolf Pelt-191	2191	1	0
Waist	Bear Hide-192	2192	2	0
Power	Lion Skin-193	2193	1	0
Ammo	Mosquito Tabar-194	2194	10	8
General1	Centi Long Sword-195	2195	5	8
General2	Spectre Eye-196	2196	1	0
General3	Ghoulbane-197	2197	1	10
General4	Iksar Tail-198	2198	1	8
General5	Goblin Ears-199	2199	1	0
General6	Cloth Cap-200	2200	42	0
General7	Cloth Sandals-201	2201	5	0
General8	Rusty Dagger-202	2202	1	0
General9	Rusty Sword-203	2203	2	0
General10	Bread Loaf-204	2204	2	0
Bank1	Water Flask-205	2205	1	10
Bank2	Bandages-206	2206	1	0
Bank3	Bone Chips-207	2207	42	0
Bank4	Spider Silk-208	2208	1	0
Bank5	Fire Beetle Eye-209	2209	1	0
Bank6	Snake Egg-210	2210	5	0
Bank7	Wolf Pelt-211	2211	1	10
Bank8	Bear Hide-212	2212	2	0
Charm	Lion Skin-213	2213	1	0
Head	Mosquito Tabar-214	2214	1	10
Face	Centi Long Sword-215	2215	1	0
Neck	Spectre Eye-216	2216	1	0
Shoulders	Ghoulbane-217	2217	1	0
Arms	Iksar Tail-218	2218	10	0
Back	Goblin Ears-219	2219	1	0
Wrist1	Cloth Cap-220	2220	1	0
Wrist2	Cloth Sandals-221	2221	1	0
Range	Rusty Dagger-222	2222	2	0
Hands	Rusty Sword-223	2223	1	0
Primary	Bread Loaf-224	2224	2	10
Secondary	Water Flask-225	2225	42	0
Finger1	Bandages-226	2226	42	0
Finger2	Bone Chips-227	2227	1	0
Chest	Spider Silk-228	2228	1	0
Legs	Fire Beetle Eye-229	2229	1	0
Feet	Snake Egg-230	2230	1	8
Waist	Wolf Pelt-231	2231	5	0
Power	Bear Hide-232	2232	2	0
Ammo	Lion Skin-233	2233	42	0
General1	Mosquito Tabar-234	2234	5	8
General2	Centi Long Sword-235	2235	1	0
General3	Spectre Eye-236	2236	1	10
General4	Ghoulbane-237	2237	5	0
General5	Iksar Tail-238	2238	42	8
General6	Goblin Ears-239	2239	1	0
General7	Cloth Cap-240	2240	5	0
General8	Cloth Sandals-241	2241	2	8
General9	Rusty Dagger-242	2242	2	10
General10	Rusty Sword-243	2243	1	10
Bank1	Bread Loaf-244	2244	1	8
Bank2	Water Flask-245	2245	1	10
Bank3	Bandages-246	2246	5	0
Bank4	Bone Chips-247	2247	5	10
Bank5	Spider Silk-248	2248	1	8
Bank6	Fire Beetle Eye-249	2249	1	0
